100%|██████████| 6069/6069 [15:39<00:00,  6.46it/s]
+---------------+-----------------+-------------------+------------------+------+-------+----------+-----------+-------+----------------+------+------+-----+------------------+
|      Name     |        sp       |         ra        |       dec        | teff |  vmag | distance |  diameter |  rot  | Hrs of X < 1.5 | N<15 | N<12 | N<9 |      Start       |
|   HD 160765   |       A1V       | 265.2957977797935 | 15.1783735736521 | 9333 | 6.332 | 141.5488 |     --    | 123.0 |      6.3       |  3   |  2   |  0  | 2022-06-20 20:52 |
|   HD 186340   |       A5V       | 295.0549860341426 | 60.5071094047433 | 7522 |  6.5  | 144.8184 |     --    | 154.0 |      10.2      |  2   |  1   |  1  | 2022-06-20 20:52 |
|   HD 222451   |       F1V       | 355.1693117317091 | 36.7207655127535 | 6761 |   --  | 44.2648  |     --    |  30.0 |      8.6       |  4   |  0   |  0  | 2022-06-20 20:52 |
|   * iot Cyg   |       A5V       |   292.4264946683  |  51.7297793972   | 8260 | 3.755 | 36.9545  |     --    | 240.0 |      9.6       |  3   |  1   |  0  | 2022-06-20 20:58 |
|   HD 165029   |       A0V       | 270.8106775100381 | 19.613154453141  | 9683 |  6.42 | 135.6871 |     --    | 249.0 |      6.8       |  3   |  1   |  0  | 2022-06-20 20:58 |
|    * f Oph    |       A2V       | 263.6528939617693 | 9.5866945738752  | 9509 |  5.81 | 113.5589 |     --    |  29.0 |      5.5       |  1   |  1   |  1  | 2022-06-20 21:10 |
|   * tet Cyg   |       F3+V      |   294.1105598179  |  50.2211012703   | 7180 |  4.48 | 18.4393  |     --    |  7.0  |      9.5       |  2   |  1   |  0  | 2022-06-20 21:10 |
|   HD 179583   |       A3V       | 287.8465045371004 | 40.4290920208899 | 8590 | 6.188 | 155.7608 |     --    |  75.0 |      8.7       |  2   |  0   |  0  | 2022-06-20 21:10 |
|   HD 188793   |       A3V       | 298.3976254140347 | 59.7086544675874 | 9290 | 6.058 | 97.7527  |     --    | 133.0 |      10.1      |  2   |  1   |  1  | 2022-06-20 21:10 |
|  V* V372 Peg  |       F3V       | 326.7698347020641 | 17.1940391090764 | 6988 | 6.174 | 50.2684  |     --    |  10.2 |      6.6       |  2   |  0   |  0  | 2022-06-20 21:10 |
|   HD 184977   |       A9V       | 293.6660859272987 | 48.1645481089252 | 7516 |  6.78 |  84.122  |     --    |  84.0 |      9.3       |  2   |  0   |  0  | 2022-06-20 21:16 |
|   *  17 Lyr   |       F0V       | 286.8565910500602 | 32.5017538587061 | 6887 |  5.22 | 43.9725  |     --    | 135.7 |      8.1       |  3   |  1   |  0  | 2022-06-20 21:22 |
|   *  76 Dra   |       A0V       | 310.6468134505334 | 82.5311518003668 | 9920 |  5.75 | 109.1727 |     --    |  32.0 |      11.4      |  2   |  0   |  0  | 2022-06-20 21:22 |
|  V* V2388 Oph |       F5Vn      |  268.558997406442 | 11.1305160670064 | 6620 |   --  | 79.8091  |     --    | 115.2 |      5.8       |  2   |  0   |  0  | 2022-06-20 21:22 |
|   * psi Cyg   |       A4Vn      | 298.9074497501259 | 52.4389276675072 | 8128 |  5.02 | 85.4204  |     --    | 207.0 |      9.6       |  3   |  1   |  1  | 2022-06-20 21:28 |
